Distance (m),Height (m)
60750.0,-97.46329730495609
61000.0,-198.070280821913
61250.0,-98.67726433886983
61500.0,-199.20841583231643
61750.0,-99.65346747402864
62000.0,-199.72325195519204
62250.0,-98.47306643783051
62500.0,-197.22288092046912
62750.0,-95.97241613497027
63000.0,-194.7094438703031
63250.0,-93.44647160563576
63500.0,-192.18349934096858
63750.0,-90.41503346739643
64000.0,-188.5606388576223
64250.0,-86.70624424784805
64500.0,-184.85184963807393
64750.0,-83.60629040970423
65000.0,-182.87805081679835
65250.0,-82.14981122389233
65500.0,-181.3496850592836
65750.0,-80.53094048682141
66000.0,-179.71219591435937
66250.0,-79.08231245128323
66500.0,-179.71482039586095
66750.0,-80.34732834043857
67000.0,-180.9798362850163
67250.0,-81.61234422959387
67500.0,-185.72660583816332
67750.0,-95.35326243994143
68000.0,-204.97991904171965
68250.0,-114.60657564349776
68500.0,-179.37488899886287
68750.0,-21.498279197847495
69000.0,-23.621669396832203
69250.0,-145.74505959581694
69500.0,-25.228363172162233
69750.0,-24.35144045153848
70000.0,-143.47451773091473
70250.0,-22.607929746602707
70500.0,-21.753528528731636
70750.0,-140.89912731086054
71000.0,-20.044726092989436
71250.0,-19.03121455220989
71500.0,-138.0089138281156
71750.0,-16.986613104021274
72000.0,-15.734634894640834
72250.0,-168.13303695107138
72500.0,-100.53143900750175
72750.0,-192.92984106393223
73000.0,-85.3282431203626
73250.0,-180.0185802025359
73500.0,-75.72083135742051
73750.0,-171.4230825123052
74000.0,-67.12533366718978
74250.0,-166.7954506705935
74500.0,-66.58475695802207
74750.0,-166.37406324545074
75000.0,-66.16336953287933
75250.0,-170.23237122249412
75500.0,-89.0754660558107
75750.0,-167.91856088912738
76000.0,-26.76165572244389
76250.0,-45.60475055576052
76500.0,-192.19144463274745
76750.0,-58.94404715231529
77000.0,-25.696649671883094
77250.0,-112.44925219145092
77500.0,-290.1560347531525
77750.0,-117.88817693100782
78000.0,-45.620319108863114
78250.0,-93.35246128671842
78500.0,-272.88914532676745
78750.0,-139.9715642454276
79000.0,-67.0539831640877
